x,y, z,Date,rain
1,1,1,1/31/03,6.55
2,1,1,2/28/03,1.61
3,1,1,3/31/03,5.01
4,1,1,4/30/03,2.27
5,1,1,5/31/03,0.91
6,1,1,6/30/03,0.49
7,1,1,7/31/03,0.12
8,1,1,8/31/03,0.33
9,1,1,9/30/03,0.97
10,1,1,10/31/03,6.32
11,1,1,11/30/03,2.54
12,1,1,12/31/03,3.19
1,2,1,1/31/04,4.23
2,2,1,2/29/04,2.19
3,2,1,3/31/04,1.72
4,2,1,4/30/04,0.55
5,2,1,5/31/04,2.54
6,2,1,6/30/04,0.36
7,2,1,7/31/04,0.24
8,2,1,8/31/04,2.3
9,2,1,9/30/04,1.37
10,2,1,10/31/04,2.12
11,2,1,11/30/04,2.16
12,2,1,12/31/04,4.5
1,3,1,1/31/05,2.33
2,3,1,2/28/05,0.8
3,3,1,3/31/05,2.59
4,3,1,4/30/05,2.68
5,3,1,5/31/05,2.23
6,3,1,6/30/05,2
7,3,1,7/31/05,0.66
8,3,1,8/31/05,0.27
9,3,1,9/30/05,0.99
10,3,1,10/31/05,2.44
11,3,1,11/30/05,4.38
12,3,1,12/31/05,6.55
1,4,1,1/31/06,9.02
2,4,1,2/28/06,2.95
3,4,1,3/31/06,1.04
4,4,1,4/30/06,1.96
5,4,1,5/31/06,1.37
6,4,1,6/30/06,1.07
7,4,1,7/31/06,0.12
8,4,1,8/31/06,0.15
9,4,1,9/30/06,1.45
10,4,1,10/31/06,1.87
11,4,1,11/30/06,10.38
12,4,1,12/31/06,6.73
1,5,1,1/31/07,2.63
2,5,1,2/28/07,1.6
3,5,1,3/31/07,2.87
4,5,1,4/30/07,0.16
5,5,1,5/31/07,0
6,5,1,6/30/07,0.6
7,5,1,7/31/07,1.5
8,5,1,8/31/07,1.05
9,5,1,9/30/07,2.14
10,5,1,10/31/07,3.28
11,5,1,11/30/07,2.96
12,5,1,12/31/07,10.53
1,6,1,1/31/08,4.37
2,6,1,2/29/08,1.46
3,6,1,3/31/08,3.53
4,6,1,4/30/08,2.85
5,6,1,5/31/08,0.85
6,6,1,6/30/08,2.12
7,6,1,7/31/08,0.28
8,6,1,8/31/08,3.16
9,6,1,9/30/08,0.88
10,6,1,10/31/08,2.15
11,6,1,11/30/08,4.81
12,6,1,12/31/08,4.76
1,7,1,1/31/09,3.43
2,7,1,2/28/09,2.04
3,7,1,3/31/09,4.26
4,7,1,4/30/09,2.75
5,7,1,5/31/09,3.9
6,7,1,6/30/09,0.31
7,7,1,7/31/09,0.22
8,7,1,8/31/09,0.75
9,7,1,9/30/09,2.5
10,7,1,10/31/09,5.71
11,7,1,11/30/09,10.92
12,7,1,12/31/09,3.11
1,8,1,1/31/10,7.82
2,8,1,2/28/10,4.05
3,8,1,3/31/10,3.65
4,8,1,4/30/10,3.35
5,8,1,5/31/10,3.19
6,8,1,6/30/10,2.34
7,8,1,7/31/10,0.17
8,8,1,8/31/10,0.82
9,8,1,9/30/10,3.49
10,8,1,10/31/10,3.57
11,8,1,11/30/10,4.64
12,8,1,12/31/10,8.36
1,9,1,1/31/11,4.72
2,9,1,2/28/11,3.83
3,9,1,3/31/11,7.66
4,9,1,4/30/11,3.74
5,9,1,5/31/11,3.02
6,9,1,6/30/11,1.4
7,9,1,7/31/11,0.75
8,9,1,8/31/11,0.07
9,9,1,9/30/11,1
10,9,1,10/31/11,3.13
11,9,1,11/30/11,6.13
12,9,1,12/31/11,1.67
1,10,1,1/31/12,4.97
2,10,1,2/29/12,3.62
3,10,1,3/31/12,6.65
4,10,1,4/30/12,2.33
5,10,1,5/31/12,1.87
6,10,1,6/30/12,3.5
7,10,1,7/31/12,1.73
8,10,1,8/31/12,0
9,10,1,9/30/12,0.38
10,10,1,10/31/12,5.82
11,10,1,11/30/12,8.79
12,10,1,12/31/12,9.88
1,11,1,1/31/13,4.8
2,11,1,2/28/13,1.89
3,11,1,3/31/13,2.82
4,11,1,4/30/13,5.28
5,11,1,5/31/13,1.41
6,11,1,6/30/13,1.8
7,11,1,7/31/13,0.05
8,11,1,8/31/13,0.96
9,11,1,9/30/13,5.06
10,11,1,10/31/13,0.98
11,11,1,11/30/13,2.8
12,11,1,12/31/13,1.37
1,12,1,1/31/14,4.24
2,12,1,2/28/14,5.59
3,12,1,3/31/14,9.06
4,12,1,4/30/14,3.23
5,12,1,5/31/14,2.26
6,12,1,6/30/14,1.22
7,12,1,7/31/14,1.28
8,12,1,8/31/14,1.62
9,12,1,9/30/14,2.73
10,12,1,10/31/14,6.76
11,12,1,11/30/14,5.08
12,12,1,12/31/14,6.09
1,1,2,1/31/03,7.35
2,1,2,2/28/03,1.81
3,1,2,3/31/03,5.88
4,1,2,4/30/03,3.15
5,1,2,5/31/03,1.49
6,1,2,6/30/03,0.89
7,1,2,7/31/03,0.18
8,1,2,8/31/03,0.46
9,1,2,9/30/03,0.2
10,1,2,10/31/03,7.75
11,1,2,11/30/03,4.51
12,1,2,12/31/03,3.9
1,2,2,1/31/04,5.88
2,2,2,2/29/04,2.75
3,2,2,3/31/04,1.95
4,2,2,4/30/04,0.76
5,2,2,5/31/04,2.21
6,2,2,6/30/04,0.73
7,2,2,7/31/04,0.32
8,2,2,8/31/04,2.42
9,2,2,9/30/04,2.11
10,2,2,10/31/04,2.62
11,2,2,11/30/04,3.15
12,2,2,12/31/04,4.83
1,3,2,1/31/05,2.95
2,3,2,2/28/05,1.03
3,3,2,3/31/05,5.74
4,3,2,4/30/05,2.42
5,3,2,5/31/05,2.69
6,3,2,6/30/05,2.31
7,3,2,7/31/05,0.89
8,3,2,8/31/05,0.29
9,3,2,9/30/05,0.92
10,3,2,10/31/05,2.41
11,3,2,11/30/05,4.86
12,3,2,12/31/05,7.1
1,4,2,1/31/06,9.71
2,4,2,2/28/06,3.32
3,4,2,3/31/06,1.24
4,4,2,4/30/06,2.02
5,4,2,5/31/06,2.3
6,4,2,6/30/06,1.93
7,4,2,7/31/06,0.02
8,4,2,8/31/06,0.16
9,4,2,9/30/06,1.78
10,4,2,10/31/06,1.95
11,4,2,11/30/06,11.79
12,4,2,12/31/06,7.04
1,5,2,1/31/07,2.91
2,5,2,2/28/07,1.75
3,5,2,3/31/07,2.65
4,5,2,4/30/07,0.02
5,5,2,5/31/07,0
6,5,2,6/30/07,0.51
7,5,2,7/31/07,1.39
8,5,2,8/31/07,1.06
9,5,2,9/30/07,1.88
10,5,2,10/31/07,2.65
11,5,2,11/30/07,2.72
12,5,2,12/31/07,9.32
1,6,2,1/31/08,3.95
2,6,2,2/29/08,1.4
3,6,2,3/31/08,3.57
4,6,2,4/30/08,2.16
5,6,2,5/31/08,0.8
6,6,2,6/30/08,1.81
7,6,2,7/31/08,0.37
8,6,2,8/31/08,3.04
